title,bert-base-uncased,roberta-large,microsoft/deberta-large,facebook/bart-large,xlnet-large-cased,google/electra-large-discriminator,albert-large-v2,Average
Pie in the Sky,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1173469387755102
Angela,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.08163265306122448
Jade,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183
Down Periscope,0.5714285714285714,0.0,0.0,0.0,0.0,0.07142857142857142,0.03571428571428571,0.09693877551020406
Man of the Year,0.0,0.0,0.0,0.0,0.5357142857142857,0.03571428571428571,0.0,0.08163265306122448
Target,0.21428571428571427,0.8571428571428571,0.7857142857142857,0.35714285714285715,0.10714285714285714,0.0,0.03571428571428571,0.336734693877551
Bad Boys,0.7142857142857143,0.75,0.7857142857142857,0.9285714285714286,0.07142857142857142,0.5714285714285714,0.2857142857142857,0.5867346938775511
Amateur,0.17857142857142858,0.10714285714285714,0.03571428571428571,0.6428571428571429,0.03571428571428571,0.4642857142857143,0.03571428571428571,0.21428571428571433
Apollo 13,0.21428571428571427,0.0,0.0,0.0,0.17857142857142858,0.25,0.6428571428571429,0.18367346938775508
Rob Roy,0.03571428571428571,0.35714285714285715,0.8928571428571429,0.21428571428571427,0.10714285714285714,0.2857142857142857,0.0,0.2704081632653061
Batman Forever,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.8928571428571429,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.5561224489795918
Blue in the Face,0.6071428571428571,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.1020408163265306
Casper,0.0,0.0,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.17857142857142858,0.07142857142857142,0.1173469387755102
Clockers,0.0,0.2857142857142857,0.0,0.75,0.07142857142857142,0.5357142857142857,0.0,0.2346938775510204
Crimson Tide,0.5,0.03571428571428571,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.1173469387755102
Crumb,0.0,0.0,0.0,0.0,0.5,0.03571428571428571,0.03571428571428571,0.08163265306122448
Desperado,0.0,0.9285714285714286,0.8571428571428571,0.32142857142857145,0.0,0.0,0.0,0.3010204081632653
Jeffrey,0.32142857142857145,0.0,0.0,0.0,0.03571428571428571,0.0,0.5357142857142857,0.12755102040816327
Johnny Mnemonic,0.14285714285714285,0.6071428571428571,0.8928571428571429,0.10714285714285714,0.0,0.0,0.0,0.25
Judge Dredd,0.07142857142857142,0.9285714285714286,0.7857142857142857,0.8928571428571429,0.0,0.6071428571428571,0.0,0.4693877551020408
Lord of Illusions,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612
Mallrats,0.6071428571428571,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.1173469387755102
Mighty Morphin Power The Movie,0.0,1.0,0.8571428571428571,0.9285714285714286,0.35714285714285715,0.0,0.14285714285714285,0.4693877551020408
Party Girl,0.4642857142857143,0.0,0.0,0.0,0.0,0.07142857142857142,0.17857142857142858,0.10204081632653061
Reckless,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.08673469387755102
Safe,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183
The Show,0.0,0.0,0.0,0.0,0.7142857142857143,0.03571428571428571,0.0,0.10714285714285714
Smoke,0.4642857142857143,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.09693877551020409
Species,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612
Strange Days,0.14285714285714285,0.4642857142857143,0.8571428571428571,0.7857142857142857,0.07142857142857142,0.32142857142857145,0.0,0.3775510204081633
Total Eclipse,0.10714285714285714,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.03571428571428571
To Wong Thanks for Julie Newmar,0.5,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.09693877551020409
Under Siege Dark Territory,0.0,0.7142857142857143,0.8214285714285714,0.25,0.0,0.0,0.0,0.25510204081632654
Unstrung Heroes,0.6071428571428571,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.10714285714285714
Waterworld,0.14285714285714285,0.8928571428571429,0.8928571428571429,0.25,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.3673469387755102
Wild Bill,0.21428571428571427,0.6428571428571429,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.0,0.03571428571428571,0.27040816326530615
Billy Madison,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0663265306122449
Boys on the Side,0.75,0.0,0.0,0.0,0.07142857142857142,0.0,0.10714285714285714,0.13265306122448978
Circle of Friends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clerks,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.030612244897959183
Don Juan DeMarco,0.6785714285714286,0.0,0.0,0.0,0.07142857142857142,0.0,0.17857142857142858,0.1326530612244898
Disclosure,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
Drop Zone,0.14285714285714285,0.8214285714285714,0.8928571428571429,0.21428571428571427,0.0,0.0,0.0,0.2959183673469388
Dolores Claiborne,0.4642857142857143,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.07142857142857142
